ivestas_pavadinimas,ivestas_kodas,rastas_pavadinimas,kodas,kodo_atitikimas,amzius,starto_data,vadovas,adresas,mobilus_telefonas,tinklalapis
"Profesinė sąjunga ""Bendrumas-LAGK""",306712655,"Profesinė sąjunga ""Bendrumas-LAGK""",306712655,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Edita Galiauskaitė, pirmininkas","Volungės g. 18-10, LT-10316 Vilnius",+370 656 73353,
"Šokių klubas ""Kibirkštys""",306712648,"Šokių klubas ""Kibirkštys""",306712648,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Vitalija Vilmanienė, pirmininkas","Pašvitinio g. 19, Joniškis",+370 646 35605,
Paramos fondas Airono rytojus,306712609,Paramos fondas Airono rytojus,306712609,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Vaidotas Kniukšta, direktorius","Kalniškių g. 10-2, LT-90158 Plungė",+370 615 62677,
Nacionalinė stalo futbolo asociacija,306712146,Nacionalinė stalo futbolo asociacija,306712146,TAIP,1 metai 11 mėnesių 26 dienos,2024-03-27,"Miglė Januševičiūtė, prezidentas","Loretos Asanavičiūtės g. 38-138, LT-04313 Vilnius",+370 643 73948,
VšĮ GREITAS VANDUO,306711635,"GREITAS VANDUO, VšĮ",306711635,TAIP,1 metai 11 mėnesių 26 dienos,2024-03-27,"Mantas Plečkaitis, direktorius","J. Skvirecko g. 27, LT-47119 Kaunas",+370 622 01060,
"Asociacija ""Griaustinio lankas""",306711560,"Griaustinio lankas, asociacija",306711560,TAIP,1 metai 11 mėnesių 19 dienų,2024-04-03,"Šarūnas Daukantas, pirmininkas","Sodų g. 1-99, LT-89138 Mažeikiai",+370 626 69479,
VšĮ Kamuolio draugas,306711471,"Kamuolio draugas, VšĮ",306711471,TAIP,1 metai 11 mėnesių 27 dienos,2024-03-26,"Titas Glodenis, direktorius","Lazdynėlių g. 18-20, LT-04126 Vilnius",+370 664 54667,
VšĮ DJ VOLLEY,306710960,"DJ VOLLEY, VšĮ",306710960,TAIP,1 metai 11 mėnesių 27 dienos,2024-03-26,"Aleksandra Kovalskaja, direktorė","Žėručio g. 13-29, LT-04104 Vilnius",+370 656 09345,
"Asociacija ""Slide pride drift""",306710907,"Slide pride drift, asociacija",306710907,TAIP,1 metai 11 mėnesių 27 dienos,2024-03-26,"Arminas Jauniškis, direktorius","Plento g. 14, Joneliškių k., LT-28126 Utenos r.",+370 624 52528,
"VšĮ Tinklinio klubas ""Setas""",306710743,"Tinklinio klubas ""Setas"", VšĮ",306710743,TAIP,1 metai 11 mėnesių 27 dienos,2024-03-26,Tautvilė Jakubauskienė,"Volungės g. 16-1, LT-63181 Alytus",+370 692 67940,
VšĮ DOMINGO padelio klubas,306710565,"DOMINGO padelio klubas, VšĮ",306710565,TAIP,1 metai 11 mėnesių 28 dienos,2024-03-25,"Vaida Čerkasienė, prezidentas","Jautakių g. 10-7, LT-89145 Mažeikiai",+370 646 02091,
VšĮ Žmonių žemė,306710519,"Žmonių žemė, VšĮ",306710519,TAIP,1 metai 11 mėnesių 28 dienos,2024-03-25,"Audronė Masiukienė, direktorė","Santariškių g. 75-34, LT-08457 Vilnius",+370 693 67836,
Bietkis Racing teem,306710412,Bietkis Racing teem,306710412,TAIP,1 metai 11 mėnesių 28 dienos,2024-03-25,"Simonas Bietkis, direktorius","Kęstučio g. 14-22, LT-74162 Jurbarkas",+370 685 66982,
Asociacija Motoconcepts,306710070,"Motoconcepts, asociacija",306710070,TAIP,1 metai 11 mėnesių 30 dienų,2024-03-26,"Dovydas Karka, direktorius","Biržų g. 87A, LT-39128 Pasvalys",+370 609 29360,
VšĮ Zero 7,306709342,"Zero 7, VšĮ",306709342,TAIP,2 metai,2024-03-22,"Jonas Jazevičius, direktorius","Laisvės al. 21, LT-44311 Kaunas",+370 602 44039,
"VšĮ ""Ratagalviai""",306709068,"Ratagalviai, VšĮ",306709068,TAIP,1 metai 11 mėnesių 27 dienos,2024-03-26,"Saulius Vaitkus, prezidentas","Gervių g. 6, Kuro k., LT-53411 Kauno r.",+370 686 38500,
"VšĮ ""2054 būrys""",306708906,"2054 būrys, VšĮ",306708906,TAIP,2 metai,2024-03-22,"Rimvydas Puodžiūnas, direktorius","Kėdainių g. 32, Pelėdnagių k., LT-58165 Kėdainių r.",+370 640 22667,
"Asociacija ""K9 SAR""",306708354,"K9 SAR, asociacija",306708354,TAIP,2 metai 1 diena,2024-03-21,Vaida Jakučionytė,"Kaminkelio g. 26, LT-02192 Vilnius",+370 674 84990,
"Sporto klubas ""Piklebeach""",306708308,"Sporto klubas ""Piklebeach""",306708308,TAIP,2 metai,2024-03-22,"Arnoldas Barauskis, prezidentas","Kooperacijos g. 44C-2, Kelmė",+370 678 78733,
Aurėjos Juodytės labdaros ir paramos fondas,306708009,Aurėjos Juodytės labdaros ir paramos fondas,306708009,TAIP,2 metai,2024-03-22,"Aurelija Juodienė, valdytojas","Miško g. 7, Neveronių k., LT-54478 Kauno r.",+370 677 23928,
VšĮ Korgių lenktynės,306707925,"Korgių lenktynės, VšĮ",306707925,TAIP,2 metai 1 diena,2024-03-21,Sonata Girtavičienė,"Savičiaus g. 3A-58, LT-01127 Vilnius",+370 653 81568,http://corgiracevilnius.com
"Viešoji įstaiga ""Akmenės jaunųjų lyderių klubas""",306707793,"Akmenės jaunųjų lyderių klubas, VšĮ",306707793,TAIP,2 metai,2024-03-22,"Aivadas Petravičius, direktorius","Respublikos g. 11A, Naujoji Akmenė, LT-85138 Akmenės r.",+370 620 32445,
"Asociacija ""Ašakėlė""",306707583,"Ašakėlė, asociacija",306707583,TAIP,2 metai 1 diena,2024-03-21,"Renata Gustienė, pirmininkas","Pramonės pr. 93-24, LT-50349 Kaunas",+370 687 78378,
BONZO TRIP,306707156,BONZO TRIP,306707156,TAIP,2 metai 1 diena,2024-03-21,"Donatas Girdvainis, pirmininkas","Girios g. 6C, Giraitės k., LT-54307 Kauno r.",+370 674 14001,
"VšĮ ""Pempės gūžta""",306707081,"Pempės gūžta, VšĮ",306707081,TAIP,2 metai 2 dienos,2024-03-20,"Renata Čeliauskienė, direktorė","Gedminų g. 27-1, Baičių k., LT-96221 Klaipėdos r.",+370 604 10095,
Henrio paramos ir labdaros fondas,306707028,Henrio paramos ir labdaros fondas,306707028,TAIP,1 metai 11 mėnesių 13 dienų,2024-04-09,"Rytis Asiulevičius, direktorius","Žuvėdros 3-iasis tak. 7A, Rusnė, LT-99354 Šilutės r.",+370 641 21914,
Asociacija Khl hc one team,306706862,"Khl hc one team, asociacija",306706862,TAIP,2 metai 5 dienos,2024-03-20,"Marius Poškus, direktorius","Skroblų g. 54, LT-76186 Šiauliai",+370 670 37654,
Nojaus Grinskio labdaros ir paramos fondas,306706780,Nojaus Grinskio labdaros ir paramos fondas,306706780,TAIP,2 metai 1 diena,2024-03-21,"Eglė Renkauskienė, direktorė","Jurgio Baltrušaičio g. 11-87, LT-06145 Vilnius",+370 685 57680,
MOTOKLUBAS DP328,306706289,MOTOKLUBAS DP328,306706289,TAIP,2 metai 1 diena,2024-03-21,"Žymantas Petrauskas, direktorius","Sakalaičių Sodų 4-oji g. 28, LT-02216 Vilnius",+370 610 49124,
Taisijos Pribytkovos paramos fondas,306706225,Taisijos Pribytkovos paramos fondas,306706225,TAIP,2 metai 2 dienos,2024-03-20,"Simona Staražinskaitė, direktorė","Tytuvėnų g. 14, Maironių k., LT-86203 Kelmės r.",+370 648 21151,
"VšĮ Tradicinio Karate-Do klubas ""Takami""",306706104,"Tradicinio Karate-Do klubas ""Takami"", VšĮ",306706104,TAIP,2 metai 3 dienos,2024-03-19,"Dominika Olivija Versocka, direktorė","Eduardo Andrė g. 14-5, LT-02232 Vilnius",+370 646 32694,
Wind LT VšĮ,306705874,"Wind LT, VšĮ",306705874,TAIP,2 metai 3 dienos,2024-03-19,"Gintaras Černiauskas, direktorius","A. Vivulskio g. 5-1, LT-03162 Vilnius",+370 687 55127,
Asociacija SCORPION Birštonas,306705493,"SCORPION Birštonas, asociacija",306705493,TAIP,2 metai 6 dienos,2024-03-19,"Edgaras Jaškevičius, Prezidentas","S. Dariaus ir S. Girėno g. 23B-6, LT-59212 Birštonas",+370 685 79499,
VšĮ Jėgos sportas,306705486,"Jėgos sportas, VšĮ",306705486,TAIP,2 metai 7 dienos,2024-03-18,"Ramūnas Liebus, direktorius","Telšių g. 43-1, LT-90164 Plungė",+370 609 69683,
"Labdaros ir paramos fondas ""Sveikti""",306705447,"Sveikti, labdaros ir paramos fondas",306705447,TAIP,2 metai 4 dienos,2024-03-18,"Jurgita Bartusevičienė, direktorius","Pavasario g. 54, Užubalių k., LT-62481 Alytaus r.",+370 683 73880,
"Sporto plėtros klubas ""Matrica""",306705027,"Sporto plėtros klubas ""Matrica""",306705027,TAIP,2 metai 2 dienos,2024-03-20,"Raimundas Garbauskas, pirmininkas","Vilties g. 6-11, Panevėžys",+370 655 01913,
"Asociacija ""KAUNO AVANGARDAS""",306704968,"KAUNO AVANGARDAS, asociacija",306704968,TAIP,2 metai 2 dienos,2024-03-20,"Laura Štareikė, administracijos vadovas","Žilvičių g. 1, Teleičių k., LT-53273 Kauno r.",+370 630 08607,
"VšĮ ""1016 CKB""",306704929,"1016 CKB, VšĮ",306704929,TAIP,2 metai 3 dienos,2024-03-19,"Bronius Švarlys, direktorius","Uolio g. 13, Daneikių k., Zarasų r.",+370 600 37888,
VšĮ COMBIDOGS,306704459,"Combidogs, VšĮ",306704459,TAIP,2 metai 4 dienos,2024-03-18,,"Žaliašilio k. 3, Žaliašilio k., LT-13147 Vilniaus r.",+370 674 49201,
"VšĮ ""Vyčių savanoriai""",306704427,"Vyčių savanoriai, VšĮ",306704427,TAIP,2 metai 4 dienos,2024-03-18,"Pranas Pelikša, direktorius","Kęstučio g. 16, Vyčių k., LT-38122 Panevėžio r.",+370 687 96967,
VšĮ Dream Race,306704007,"Dream Race, VšĮ",306704007,TAIP,2 metai 7 dienos,2024-03-15,"Edvinas Puidokas, direktorius","Taikos pr. 83-4, LT-94158 Klaipėda",+370 641 22450,
"Finišo tiesioji, VšĮ",306703880,"Finišo tiesioji, VšĮ",306703880,TAIP,2 metai 7 dienos,2024-03-15,"Mindaugas Neliubšys, direktorius","Kražių g. 9-10, LT-01108 Vilnius",+370 614 01430,
"Daugiabučio gyvenamojo namo savininkų bendrija ""Monolitas 172""",306703745,"Daugiabučio gyvenamojo namo savininkų bendrija ""Monolitas 172""",306703745,TAIP,2 metai 4 dienos,2024-03-18,"Šarūnas Matijošaitis, pirmininkas","Savanorių pr. 172-41, LT-44149 Kaunas",+370 648 82673,
Labdaros ir paramos fondas Lėja ir draugai,306703688,"Lėja ir draugai, labdaros ir paramos fondas",306703688,TAIP,1 metai 11 mėnesių 30 dienų,2024-03-26,"Kipras Dabulevičius, direktorius","Mokyklos g. 20-3, Vievis, LT-21378 Elektrėnai",+370 609 16558,
"Rudas portfelis, VšĮ",306703631,"Rudas portfelis, VšĮ",306703631,TAIP,2 metai 4 dienos,2024-03-18,"Simonas Vaškevičius, direktorius","Eduardo Andrė g. 14-5, LT-02232 Vilnius",+370 624 32506,
VšĮ Kultūros naktis,306703204,"Kultūros naktis, VšĮ",306703204,TAIP,2 metai 7 dienos,2024-03-15,"Gintarė Šiaulytė, direktorė","Dzūkų g. 15-21, LT-02161 Vilnius",-,https://kulturosnaktis.lt/
Pakarklės miško bendruomenė,306703161,Pakarklės miško bendruomenė,306703161,TAIP,2 metai 7 dienos,2024-03-15,"Adolfas Paleckis, pirmininkas","Jurbarko pl. 337, Antalkių k., LT-54217 Kauno r.",+370 618 30263,
Tintiniškių kaimo bendruomenė,306702910,Tintiniškių kaimo bendruomenė,306702910,TAIP,2 metai 3 dienos,2024-03-19,,"Tintiniškių g. 24, Tintiniškių k., LT-14223 Vilniaus r.",+370 615 21151,
"VšĮ ""Mes aštuoni šimtai vienuolika""",306702465,"VšĮ ""Mes aštuoni šimtai vienuolika""",306702465,TAIP,2 metai 8 dienos,2024-03-14,,"Kryžiokų g. 37, LT-14270 Vilnius",+370 687 37274,
"VŠĮ ""Traidenio sporto klubas""",306702426,"VŠĮ ""Traidenio sporto klubas""",306702426,TAIP,2 metai 9 dienos,2024-03-13,"Algirdas Adomaitis, direktorius","Jonavos g. 292-2, LT-44131 Kaunas",+370 636 56031,https://kkml.lt/teams/item/4499
"Asociacija ""Pasvalio krašto kariai savanoriai""",306702248,"Pasvalio krašto kariai savanoriai, asociacija",306702248,TAIP,2 metai 1 diena,2024-03-21,"Gabija Tuomaitė, prezidentas","Vilniaus g. 113-30, LT-41115 Biržai",+370 625 04307,
"VšĮ ""Smalsiems""",306702084,"Smalsiems, VšĮ",306702084,TAIP,2 metai 8 dienos,2024-03-14,"Šarūnas Rudaitis, direktorius","Europos pr. 122, LT-46351 Kaunas",+370 633 47400,
VšĮ Gruzdys,306701979,"Gruzdys, VšĮ",306701979,TAIP,2 metai 9 dienos,2024-03-13,"Andrius Medelis, direktorius","S. Šalkauskio g. 7-7, LT-76288 Šiauliai",+370 686 47782,
Merkinės miestelio bendruomenė,306701491,Merkinės miestelio bendruomenė,306701491,TAIP,2 metai 12 dienų,2024-03-13,"Arūnas Glavickas, pirmininkas","Nemunaičio g. 28, Merkinė, LT-65335 Varėnos r.",+370 616 18592,
Plynių kaimo bendruomenė,306701477,Plynių kaimo bendruomenė,306701477,TAIP,1 metai 11 mėnesių 28 dienos,2024-03-25,"Saulius Bacevičius, pirmininkas","Plynių g. 32-4, Plynių k., LT-71186 Šakių r.",+370 606 91172,
"VšĮ ""Jocytės krepšinio fondas""",306701445,"Jocytės krepšinio fondas, VšĮ",306701445,TAIP,2 metai 9 dienos,2024-03-13,"Aurelija Jocienė, direktorė","Plytų g. 79-1, LT-00160 Palanga",+370 648 14177,
"Asociacija ""Smiginis Telšiuose""",306701281,"Smiginis Telšiuose, asociacija",306701281,TAIP,2 metai 9 dienos,2024-03-13,"Ignas Vaitiekovas, direktorius","Padurbinio g. 30, LT-87422 Telšiai",+370 640 54884,
Karolio labdaros ir paramos fondas,306701267,Karolio labdaros ir paramos fondas,306701267,TAIP,2 metai 4 dienos,2024-03-18,"Anžela Norkienė, valdytojas","Fabijoniškių g. 81-14, LT-07106 Vilnius",+370 603 14503,
"Asociacija ""Hip-Hop Elementai""",306701121,"Hip-Hop Elementai, asociacija",306701121,TAIP,2 metai 9 dienos,2024-03-13,"Jokūbas Mickus, vadovas","Veterinarijos g. 6-11, LT-20183 Ukmergė",+370 645 73648,
"Asociacija ""EM"" Racing",306700998,"""EM"" Racing, asociacija",306700998,TAIP,2 metai 7 dienos,2024-03-18,"Erlandas Mackonis, direktorius","Radvilų Dvaro g. 6, LT-48322 Kaunas",+370 647 74459,
Leisanos paramos labdaros fondas,306700973,Leisanos paramos labdaros fondas,306700973,TAIP,2 metai 10 dienų,2024-03-12,"Anželika Umecka, direktorė","Šiltnamių g. 9-57, Pagirių k., LT-14113 Vilniaus r.",+370 695 43986,
VšĮ Genealoginiai surašymai,306700838,"Genealoginiai surašymai, VšĮ",306700838,TAIP,2 metai 10 dienų,2024-03-12,,"Raitininkų g. 2A-41, LT-09232 Vilnius",+370 686 96004,https://census.lt/
Jono Lankučio viešosios bibliotekos darbuotojų profesinė sąjunga,306700432,Jono Lankučio viešosios bibliotekos darbuotojų profesinė sąjunga,306700432,TAIP,2 metai 10 dienų,2024-03-12,"Neringa Birbalienė, pirmininkas","Klaipėdos g. 15, Gargždai, LT-96135 Klaipėdos r.",+370 618 25351,
VšĮ Laido riteriai,306700375,"Laido riteriai, VšĮ",306700375,TAIP,2 metai 10 dienų,2024-03-12,"Žydrūnas Vainauskas, direktorius","Ramygalos g. 15-1D, LT-36210 Panevėžys",+370 649 21643,
"Asociacija ""Su Vėju""",306700037,"Su Vėju, asociacija",306700037,TAIP,2 metai 8 dienos,2024-03-14,"Justė Petkevičiūtė, direktorė","Vytauto Žalakevičiaus g. 25-19, LT-10109 Vilnius",+370 613 19883,
"VšĮ ""Šviesa tamsoje""",306699923,"Šviesa tamsoje, VšĮ",306699923,TAIP,2 metai 10 dienų,2024-03-12,"Neringa Janulienė, direktorė","Paverknių I k. 3, Paverknių I k., Birštonas",+370 687 45364,
Lietuvos medžioklinių ir sportinių šunų klubas,306699859,Lietuvos medžioklinių ir sportinių šunų klubas,306699859,TAIP,2 metai 13 dienų,2024-03-12,Laima Eidukienė,"Kazimiero Olšausko g. 17, LT-97318 Kretingos r.",+370 698 71838,
"Visuomeninė organizacija ""Užusalių bendruomenė""",306699243,"Užusalių bendruomenė, visuomeninė organizacija",306699243,TAIP,2 metai 10 dienų,2024-03-12,"Laurita Puškova, pirmininkas","Drebulių g. 11, Užusalių k., LT-55334 Jonavos r.",+370 639 98823,
Milenos labdaros ir paramos fondas,306699236,Milenos labdaros ir paramos fondas,306699236,TAIP,2 metai 14 dienų,2024-03-08,,"Gedūnės g. 12, Klemiškės II k., LT-91289 Klaipėdos r.",Įmonė telefono numerio nurodyti nepageidauja,
VšĮ Buivydas Racing,306699161,"Buivydas Racing, VšĮ",306699161,TAIP,2 metai 14 dienų,2024-03-08,"Irmantas Buivydas, direktorius","Pušyno g. 16, Karklėnai, LT-86323 Kelmės r.",+370 606 06841,
"Vilniaus m. daugiabučio gyvenamojo namo P. Vileišio g. 27 savininkų bendrija ""Vileišio 27""",306699122,"Vilniaus m. daugiabučio gyvenamojo namo P. Vileišio g. 27 savininkų bendrija ""Vileišio 27""",306699122,TAIP,2 metai 14 dienų,2024-03-08,"Irena Jankauskienė, pirmininkas","P. Vileišio g. 27-31, LT-10205 Vilnius",+370 682 39137,
VšĮ Jolantos ir Meidos mados mokykla,306699097,"Jolantos ir Meidos mados mokykla, VšĮ",306699097,TAIP,2 metai 17 dienų,2024-03-08,"Jolanta Beliaeva, direktorė","Dvarašilio g. 15, Kaimynų k., LT-28388 Utenos r.",+370 630 15208,
"Automobilių sporto klubas ""LFCG Motorsport""",306698974,"Automobilių sporto klubas ""LFCG Motorsport""",306698974,TAIP,2 metai 14 dienų,2024-03-08,"Simas Raupys, direktorius","Vilties g. 14-32, LT-42159 Rokiškis",+370 641 66600,
"VšĮ ""Laisvi vaikai""",306698942,"Laisvi vaikai, VšĮ",306698942,TAIP,2 metai 15 dienų,2024-03-07,"Akvilė Adomaitytė, direktorė","Ateities g. 10 - 43, Stasiūnų k., LT-56137 Kaišiadorių r.",+370 685 72414,http://laisvivaikai.lt
KAUNAS FOOTBALL ACADEMY TAURAS,306698885,KAUNAS FOOTBALL ACADEMY TAURAS,306698885,TAIP,2 metai 9 dienos,2024-03-13,"Aurinas Ivaškevičius, direktorius","Vytauto pr. 27, LT-44352 Kaunas",+370 645 46446,
"VšĮ ""Japustas""",306698853,"Japustas, VšĮ",306698853,TAIP,2 metai 15 dienų,2024-03-07,"Rasa Karnatkienė, direktorė","Europos pr. 34-47, LT-46370 Kaunas",+370 614 27969,
Kalvarijos LIONS klubas,306698846,Kalvarijos LIONS klubas,306698846,TAIP,2 metai 15 dienų,2024-03-07,"Nijolė Silickienė, prezidentas","Saulės g. 2-4, Sangrūdos k., LT-69265 Kalvarija",+370 656 37573,
VšĮ Pasišnekam,306698561,"Pasišnekam, VšĮ",306698561,TAIP,2 metai 15 dienų,2024-03-07,"Ieva Molytė, direktorė","Sodų g. 23, Butvydonių k., LT-65440 Varėnos r.",+370 678 50968,http://www.pasisnekam.lt
Viešoji įstaiga Klubas LGAC,306698390,"Klubas LGAC, VšĮ",306698390,TAIP,2 metai 15 dienų,2024-03-07,"Stasys Černiauskas, prezidentas","Medžiotojų g. 1E, Naujojo Lentvario k., LT-25110 Trakų r.",+370 650 76789,
"VšĮ ""Geros emocijos gydo""",306698383,"Geros emocijos gydo, VšĮ",306698383,TAIP,2 metai 15 dienų,2024-03-07,"Inesa Juknevičienė, direktorė","Ežero g. 18, LT-47166 Kaunas",+370 653 37533,
HT Club,306698134,HT Club,306698134,TAIP,2 metai 14 dienų,2024-03-08,"Gerda Andrėkienė, vadovas","Lentvario g. 16A, LT-02300 Vilnius",+370 604 77067,http://hondatuning.lt
"VšĮ ""EPMM modeliai""",306697694,"EPMM modeliai, VšĮ",306697694,TAIP,2 metai 16 dienų,2024-03-06,"Indra Ereksonienė, direktorė","Piniavos g. 6, Tičkūnų k., LT-38410 Panevėžio r.",+370 615 37414,https://www.epmmmodels.com
Bendrija Grybo 17,306697502,Bendrija Grybo 17,306697502,TAIP,2 metai 18 dienų,2024-03-07,"Indrė Liutkutė, pirmininkas","V. Grybo g. 17-130, LT-10318 Vilnius",+370 641 48448,
"Asociacija ""Rukū masals""",306697477,"Rukū masals, asociacija",306697477,TAIP,2 metai 17 dienų,2024-03-05,Danutė Lekniuvienė,"Mokyklos g. 2, Rukų k., LT-98256 Skuodo r.",+370 686 61844,
"VšĮ ""Sailing energy""",306697413,"Sailing energy, VšĮ",306697413,TAIP,2 metai 17 dienų,2024-03-05,Justina Volkovicka,"J. Jasinskio g. 14A-19, LT-01112 Vilnius",+370 674 68858,
"Asociacija ""Terespolio dvaras""",306697203,"Terespolio dvaras, asociacija",306697203,TAIP,2 metai 16 dienų,2024-03-06,"Jurgita Nikalajevienė, prezidentas","Terespolio k. 2, Terespolio k., LT-58269 Kėdainių r.",+370 655 78220,
"Viešoji įstaiga ""Klaipėdos liuteronų diakonija""",306697178,"Klaipėdos liuteronų diakonija, VšĮ",306697178,TAIP,2 metai 16 dienų,2024-03-06,"Nerija Palec, direktorius","Turgaus g. 35, LT-91249 Klaipėda",+370 618 30039,
"Asociacija ""Temidės tarnyboje""",306697160,"Temidės tarnyboje, asociacija",306697160,TAIP,2 metai 16 dienų,2024-03-06,Alfredas Vilbikas,"Tilžės g. 151-1, LT-76297 Šiauliai",+370 698 23320,
VšĮ Gesinti viską,306697146,"Gesinti viską, VšĮ",306697146,TAIP,,2024-03-06,,"Tuskulėnų g. 15-41, LT-09217 Vilnius",,
Šokio Namai Pashock,306696884,Šokio Namai Pashock,306696884,TAIP,2 metai 17 dienų,2024-03-05,"Veronika Lansbergienė, direktorė","Varniūnų g. 15, Varniūnų k., LT-41201 Biržų r.",+370 690 36306,
"VšĮ ""Urga sporthorses""",306696813,"Urga sporthorses, VšĮ",306696813,TAIP,2 metai 15 dienų,2024-03-07,"Justas Gabalis, direktorius","Dvaro g. 20, Priekulės II k., LT-96359 Klaipėdos r.",+370 641 61542,
"VšĮ ""Sirenos teniso klubas""",306696119,"Sirenos teniso klubas, VšĮ",306696119,TAIP,2 metai 17 dienų,2024-03-05,"Viktorija Petruškevičienė, direktorė","Pilsoto g. 45-1, Normantų k., LT-92358 Klaipėdos r.",+370 605 07911,
VIEŠOJI ĮSTAIGA KARUKA,306695992,"Karuka, VšĮ",306695992,TAIP,2 metai 18 dienų,2024-03-04,"Akvilė Brazauskaitė, direktorė","Vytenio g. 22-701, LT-03229 Vilnius",+370 656 88726,
"Igno vilties lašelis, Labdaros ir paramos fondas",306695946,"Igno vilties lašelis, labdaros ir paramos fondas",306695946,TAIP,2 metai 17 dienų,2024-03-05,"Jolanta Vaidanavičienė, direktorė","Nemuno g. 41, Gaižuvėlės k., LT-54283 Kauno r.",+370 675 98951,
Paauglystės Institutas,306695704,Paauglystės Institutas,306695704,TAIP,2 metai 15 dienų,2024-03-07,Gražvydas Pavalkis,"Žygio g. 16-16, LT-08232 Vilnius",+370 683 78684,https://www.paauglystesinstitutas.lt
"Obelių asociacija ""Raminta""",306695309,"Obelių asociacija ""Raminta""",306695309,TAIP,2 metai 17 dienų,2024-03-05,"Zita Skvarnavičienė, vadovaujantis partneris","Ateities g. 11, Obelių Priemiesčio k., LT-42217 Rokiškio r.",+370 671 51405,
BRO Racing VšĮ,306695202,"BRO Racing, VšĮ",306695202,TAIP,2 metai 18 dienų,2024-03-04,"Mikas Razmislavičius, direktorius","Miško g. 6, Antežerių k., LT-14158 Vilniaus r.",+370 671 72865,
VšĮ Darnos tvėrėjai,306695191,"Darnos tvėrėjai, VšĮ",306695191,TAIP,2 metai 18 dienų,2024-03-04,"Ernestas Obelienius, prezidentas","Giedručių g. 16-6, Giedručių k., LT-71104 Šakių r.",+370 628 10629,
"Raseinių šachmatų klubas ""Raseinietiškas matas""",306695184,"Raseinių šachmatų klubas ""Raseinietiškas matas""",306695184,TAIP,2 metai 10 dienų,2024-03-12,"Romas Masaitis, prezidentas","Šėtupio g. 70, Dvareliškių k., LT-60316 Raseinių r.",+370 659 84552,
